AuthorID,Author,Date,Content,Attachments,Reactions
"431346450706726912","Mafia2547#1737","28-Apr-22 09:02:14 PM","72","",""
"526792117385953312","Kojina#1082","28-Apr-22 09:02:31 PM","73","",""
"431346450706726912","Mafia2547#1737","28-Apr-22 09:04:24 PM","74","",""
"526792117385953312","Kojina#1082","28-Apr-22 09:04:31 PM","75","",""
"431346450706726912","Mafia2547#1737","28-Apr-22 09:04:47 PM","76","",""
"267230094395703297","Rews_red#9505","28-Apr-22 10:36:58 PM","LXXVII","",""
"526792117385953312","Kojina#1082","28-Apr-22 10:57:07 PM","78","",""
"267230094395703297","Rews_red#9505","28-Apr-22 11:03:00 PM","79","",""
"437618453155938317","tacktor#9598","28-Apr-22 11:03:22 PM","80","",""
"551258989594411018","DelMii#5454","28-Apr-22 11:31:05 PM","81","",""
"267230094395703297","Rews_red#9505","29-Apr-22 12:02:47 AM","82","",""
"526792117385953312","Kojina#1082","29-Apr-22 12:08:31 AM","83","",""
"804742225258479636","shirodesxu#9767","29-Apr-22 12:09:09 AM","84","",""
"526792117385953312","Kojina#1082","29-Apr-22 12:12:13 AM","85","",""
"267230094395703297","Rews_red#9505","29-Apr-22 12:19:34 AM","86","",""
"250308103105413121","Toon#9209","29-Apr-22 12:21:16 AM","๘๗","",""
"526792117385953312","Kojina#1082","29-Apr-22 12:27:30 AM","88","",""
"267230094395703297","Rews_red#9505","29-Apr-22 12:34:01 AM","89","",""
"526792117385953312","Kojina#1082","29-Apr-22 01:00:28 AM","90","",""
"685783499223072781","Flying Purple People Eater#7052","29-Apr-22 09:21:03 AM","91","",""
"437618453155938317","tacktor#9598","29-Apr-22 09:22:07 AM","9๒","",""
"250308103105413121","Toon#9209","29-Apr-22 09:25:28 AM","93","",""
"526792117385953312","Kojina#1082","29-Apr-22 09:27:34 AM","94","",""
"746178884323639387","Aekkawin#8587","29-Apr-22 11:04:27 AM","95","",""
"437618453155938317","tacktor#9598","29-Apr-22 11:11:40 AM","96","",""
"790985840686923797","Cheeseman#2671","29-Apr-22 11:24:40 AM","97","",""
"437618453155938317","tacktor#9598","29-Apr-22 11:24:53 AM","98","",""
"267230094395703297","Rews_red#9505","29-Apr-22 11:37:30 AM","99","",""
"551258989594411018","DelMii#5454","29-Apr-22 12:21:24 PM","100","","💯 (2)"
"437618453155938317","tacktor#9598","29-Apr-22 12:22:05 PM","102 cause 101 not found","",""
"437618453155938317","tacktor#9598","29-Apr-22 12:22:57 PM","Kidding","",""
"437618453155938317","tacktor#9598","29-Apr-22 12:22:59 PM","101","",""
"790985840686923797","Cheeseman#2671","29-Apr-22 12:40:42 PM","102","",""
"467937972419952640","EXTR ᗜˬᗜ#0869","29-Apr-22 02:52:43 PM","103","",""
"804742225258479636","shirodesxu#9767","29-Apr-22 03:21:40 PM","104","",""
"250308103105413121","Toon#9209","29-Apr-22 03:56:40 PM","หนึ่งร้อยห้า","",""
"526792117385953312","Kojina#1082","29-Apr-22 06:01:54 PM","black man walking through walls (run)","","🤔 (1)"
"250308103105413121","Toon#9209","29-Apr-22 07:13:14 PM","107","",""
"526792117385953312","Kojina#1082","29-Apr-22 07:13:59 PM","108","",""
"685783499223072781","Flying Purple People Eater#7052","29-Apr-22 08:55:17 PM","109","",""
"526792117385953312","Kojina#1082","29-Apr-22 09:10:41 PM","110","",""
"685783499223072781","Flying Purple People Eater#7052","29-Apr-22 09:12:39 PM","111","",""
"526792117385953312","Kojina#1082","29-Apr-22 09:23:53 PM","les majeste","",""
"267230094395703297","Rews_red#9505","29-Apr-22 09:23:57 PM","113","",""
"685783499223072781","Flying Purple People Eater#7052","29-Apr-22 09:24:10 PM","114","",""
"267230094395703297","Rews_red#9505","29-Apr-22 09:24:18 PM","115","",""
"526792117385953312","Kojina#1082","29-Apr-22 09:25:45 PM","116","",""
"267230094395703297","Rews_red#9505","29-Apr-22 09:25:50 PM","117","",""
"526792117385953312","Kojina#1082","29-Apr-22 09:26:40 PM","118","",""
"526792117385953312","Kojina#1082","30-Apr-22 12:06:22 AM","119","","🇴 (1),🅾️ (1),🇵 (1),🇸 (1),🇮 (1),🇪 (1)"
"437618453155938317","tacktor#9598","30-Apr-22 12:23:48 AM","1๒0","",""
"267230094395703297","Rews_red#9505","30-Apr-22 12:39:29 AM","11^2","",""
"437618453155938317","tacktor#9598","30-Apr-22 12:40:41 AM","122","",""
"267230094395703297","Rews_red#9505","30-Apr-22 12:41:10 AM","1️⃣ 2️⃣ 3️⃣","",""
"526792117385953312","Kojina#1082","30-Apr-22 12:49:07 AM","124","",""
"267230094395703297","Rews_red#9505","30-Apr-22 01:25:39 AM","5^3","",""
"526792117385953312","Kojina#1082","30-Apr-22 01:27:03 AM","126","",""
"267230094395703297","Rews_red#9505","30-Apr-22 01:27:20 AM","127","",""
"526792117385953312","Kojina#1082","30-Apr-22 01:58:41 AM","128","",""
"250308103105413121","Toon#9209","30-Apr-22 02:17:28 AM","¹²⁹","",""
"526792117385953312","Kojina#1082","30-Apr-22 02:20:25 AM","130","",""
"267230094395703297","Rews_red#9505","30-Apr-22 02:33:59 AM","131","",""
"526792117385953312","Kojina#1082","30-Apr-22 02:36:41 AM","132","",""
"526792117385953312","Kojina#1082","30-Apr-22 02:38:48 AM","133","",""
"437618453155938317","tacktor#9598","30-Apr-22 06:11:50 AM","133","",""
"437618453155938317","tacktor#9598","30-Apr-22 06:12:14 AM","Pinned a message.","",""
"526792117385953312","Kojina#1082","30-Apr-22 06:20:46 AM","134","",""
"786401021110910986","Win#7206","30-Apr-22 07:46:20 AM","135","",""
"551258989594411018","DelMii#5454","30-Apr-22 09:41:52 AM","136","",""
"437618453155938317","tacktor#9598","30-Apr-22 09:42:08 AM","137","",""
